Ano,Semestre,Cód. Disciplina,Cód. Turma,Professor,Cód. Curso,Curso,Aprovado%,CancMatric%,Dispensado%,Não Concl.%,Repr.Freq%,Reprovado%,Tr.Parcial%,Aprovado,CancMatric,Dispensado,Não Concl.,Repr.Freq,Reprovado,Tr.Parcial,Total Alunos,Total %
2022,1. Semestre,D320200,11,B292200218320,312,Curso de Engenharia de Computação,22,0,0,0,53,19,6,7,0,0,0,17,6,2,32,100
2022,1. Semestre,D320200,13,B461200642855,303,Engenharia Elétrica,21,0,0,4,36,32,7,6,0,0,1,10,9,2,28,100
2022,1. Semestre,D320200,14,B380148200148,304,Engenharia Mecânica,89,0,0,0,0,11,0,40,0,0,0,0,5,0,45,100
2022,1. Semestre,D320200,14,B380148200148,305,Engenharia Química,85,0,0,2,0,13,0,39,0,0,1,0,6,0,46,100
2022,1. Semestre,D320200,50,B888642512642,110,Química Industrial,0,0,0,0,0,75,25,0,0,0,0,0,3,1,4,100
2022,1. Semestre,D320200,15,B292200218320,313,Curso de Engenharia de Produção,18,0,0,9,55,18,0,2,0,0,1,6,2,0,11,100
2022,1. Semestre,D320200,16,B461200642855,307,Ciência da Computação - Bacharelado,58,0,0,0,9,6,27,19,0,0,0,3,2,9,33,100
2022,1. Semestre,D320200,17,B888642512642,310,Curso Engenharia de Controle e Automação,30,0,0,0,30,33,6,10,0,0,0,10,11,2,33,99
2022,1. Semestre,D320200,18,B512402380642,311,Curso de Engenharia Acústica,17,0,0,7,0,72,3,5,0,0,2,0,21,1,29,99
2022,1. Semestre,D888148,10,C380148380200,304,Engenharia Mecânica,57,7,0,0,20,17,0,17,2,0,0,6,5,0,30,101
2022,1. Semestre,D888148,11,C380148380200,304,Engenharia Mecânica,24,0,0,0,41,35,0,4,0,0,0,7,6,0,17,100
2022,1. Semestre,D888148,SI1,C320402855200,314,Bacharelado em Sistemas de Informação,10,0,0,0,40,40,10,1,0,0,0,4,4,1,10,100
2022,1. Semestre,D888148,CC1,C320402855200,307,Ciência da Computação - Bacharelado,56,4,0,0,16,24,0,14,1,0,0,4,6,0,25,100
2022,1. Semestre,D888148,CC2,C380148200685,307,Ciência da Computação - Bacharelado,60,0,0,0,0,33,7,9,0,0,0,0,5,1,15,100
2022,1. Semestre,D888148,SI2,C380148200685,314,Bacharelado em Sistemas de Informação,50,0,0,0,0,50,0,2,0,0,0,0,2,0,4,100
2022,1. Semestre,D888200,SI1,E681200461218,314,Bacharelado em Sistemas de Informação,0,0,0,0,0,100,0,0,0,0,0,0,1,0,1,100
2022,1. Semestre,D888200,CC1,E681200461218,307,Ciência da Computação - Bacharelado,87,0,0,0,0,13,0,13,0,0,0,0,2,0,15,100
2022,1. Semestre,D888200,CC2,E978402380148,307,Ciência da Computação - Bacharelado,67,4,0,0,4,21,4,16,1,0,0,1,5,1,24,100
2022,1. Semestre,D888200,SI2,E978402380148,314,Bacharelado em Sistemas de Informação,67,0,0,0,33,0,0,2,0,0,0,1,0,0,3,100
2022,2. Semestre,D200888,10,P888683320,504,Ciências Econômicas - Noturno,29,2,0,0,57,12,0,12,1,0,0,24,5,0,42,100
2022,2. Semestre,D200888,13,P642380402,302,Engenharia Civil,18,0,6,0,45,31,0,9,0,3,0,22,15,0,49,100
2022,2. Semestre,D200888,14,M000001111,305,Engenharia Química,19,2,0,0,49,30,0,9,1,0,0,23,14,0,47,100
2022,2. Semestre,D200888,50,P888683320,110,Química Industrial,0,0,0,0,0,100,0,0,0,0,0,0,1,0,1,100
2022,2. Semestre,D200888,50,P888683320,302,Engenharia Civil,100,0,0,0,0,0,0,4,0,0,0,0,0,0,4,100
2022,2. Semestre,D200888,15,P681200683,313,Curso de Engenharia de Produção,36,0,4,0,43,18,0,10,0,1,0,12,5,0,28,101
